Plot,Replicate,Pesticide.initial,Nitrogen.initial,richness,ANVI.outcome,PAAN.outcome,SCIN.outcome,SEPA.outcome,SOPI.outcome,TRFL.outcome,AvgHeight,Duration,AvgBD,Trees2015,rich_colherbs
5_33,5,Sprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,7
5_35,5,Sprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,4
5_36,5,Sprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,9
5_38,5,Sprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,8
5_4,5,Unsprayed,Unfertilized,Monoculture,0,0,0,0,0,1,1.1835,0,24.4,2,6
5_41,5,Unsprayed,Fertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,9
5_42,5,Unsprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,7
5_43,5,Unsprayed,Unfertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,5
5_44,5,Unsprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,8
5_45,5,Sprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,4
5_46,5,Unsprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0.994,1,23.4,1,4
5_47,5,Sprayed,Fertilized,Monoculture,1,0,0,0,0,0,0.126,3,1.9,1,6
5_48,5,Unsprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,6
5_49,5,Sprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,7
5_5,5,Sprayed,Unfertilized,Monoculture,0,0,0,0,0,1,1.192,0,26.1,1,7
5_51,5,Sprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,3
5_52,5,Unsprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,6
5_53,5,Unsprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,8
5_54,5,Unsprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,7
5_55,5,Sprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,2
5_56,5,Unsprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0.655,1,13,1,6
5_58,5,Unsprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0.785,3,11.9,1,9
5_59,5,Unsprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0.22,2,2.3,1,8
5_6,5,Sprayed,Fertilized,Monoculture,0,0,0,0,0,1,1.48,0,33.1,1,6
5_60,5,Sprayed,Unfertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,4
5_61,5,Unsprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,10
5_62,5,Unsprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,4
5_63,5,Unsprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,8
5_64,5,Sprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,5
5_9,5,Sprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,9
